Condition,Drug,Type,Reviews,Effective,Ease of Use,Satisfaction,Average Price,Form
Pain and Inflammation,"Pseudoephedrine-Ibuprofen, Ibuprofen 2",OTC,1,5.0,5.0,5.0,18.99,Oral Solids
Pain and Inflammation,Ibuprofen 38,OTC,1,5.0,5.0,5.0,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 39,OTC,1,4.0,3.0,3.0,13.49,Oral Solids
Pain and Inflammation,Indomethacin 9,RX,1,1.0,4.0,1.0,15.99,Oral Solids
Pain and Inflammation,Ibuprofen 40,OTC,1,4.0,4.0,4.0,13.49,Oral Solids
Pain and Inflammation,Naproxen 5,RX,1,1.0,5.0,1.0,24.49,Oral Solids
Pain and Inflammation,Naproxen Sodium 18,OTC,1,4.0,3.0,4.0,61.39,Oral Solids
Pain and Inflammation,Ibuprofen-Famotidine 2,RX,1,5.0,5.0,5.0,997.39,Oral Solids
Pain and Inflammation,Ibuprofen 41,RX,1,4.0,5.0,2.0,13.49,Oral Solids
Pain and Inflammation,Indomethacin 10,RX,1,3.0,5.0,4.0,15.99,Oral Solids
Pain and Inflammation,Ibuprofen 42,RX,1,3.0,3.0,3.0,13.49,Oral Solids
Pain and Inflammation,Fenoprofen 3,RX,1,3.0,4.0,4.0,99.59,Oral Solids
Pain and Inflammation,Naproxen Sodium 19,RX,1,5.0,5.0,5.0,61.39,Oral Solids
Pain and Inflammation,Ibuprofen 43,OTC,1,4.0,3.0,4.0,13.49,Oral Solids
Pain and Inflammation,Hydrocortisone Acetate 5,RX,52,3.66,3.89,3.29,154.02,Others
Pain and Inflammation,Hydrocortisone 16,RX/OTC,34,4.2,4.2,4.0,14.59,Ointments
Pain and Inflammation,Hydrocortisone Acetate 6,RX,25,2.67,3.27,2.6,154.02,Others
Pain and Inflammation,Lidocaine,RX/OTC,21,3.31,3.75,3.25,294.99,Others
Pain and Inflammation,"Phenyleph-Shark Oil-Glyc-Pet, Phenyleph-Min Oil-Petrolatum, Cocoa Butter-Shark Liver Oil",OTC,20,2.75,3.56,2.63,11.99,Ointments
Pain and Inflammation,Lidocaine 2,OTC,18,4.4,4.8,4.4,294.99,Others
Pain and Inflammation,"Hydrocortisone Acetate, Hydrocortison-Resor-Bismth-Zno, Hydrocortisone",RX,11,4.0,4.0,3.2,154.02,Others
Pain and Inflammation,"Bismuth Subg-Balsam-Znox-Resor, Starch, Pramoxine-Mineral Oil-Zinc",OTC,9,3.5,3.5,3.75,154.02,Others
Pain and Inflammation,"Pramoxine-Calamine-Camphor, Pramoxine-Calamine",OTC,7,5.0,5.0,5.0,9.68,Oral Liquids
Pain and Inflammation,Phenylephrine-Witch Hazel,OTC,7,2.86,4.0,2.0,11.99,Ointments
Pain and Inflammation,Pramoxine,OTC,5,2.67,2.67,2.33,81.99,Ointments
Pain and Inflammation,"Cocoa Butter-Zinc Oxide, Zinc Oxide",OTC,5,3.33,4.67,3.33,19.44,Others
Pain and Inflammation,Phenyleph-Pramoxin-Glycr-W.Pet,OTC,5,2.2,3.2,1.8,11.99,Ointments
Pain and Inflammation,Hydrocortisone 17,RX,5,3.75,4.0,3.5,154.02,Others
Pain and Inflammation,Hydrocortisone Acetate 7,OTC,5,2.4,3.6,2.4,154.02,Others
Pain and Inflammation,Phenylephrine Hcl,OTC,3,3.0,3.0,1.0,154.02,Others
Pain and Inflammation,Pramoxine-Zinc Oxide,OTC,3,5.0,5.0,5.0,11.99,Ointments
Pain and Inflammation,Hydrocortisone 18,RX,2,4.0,3.0,3.0,154.02,Others
Pain and Inflammation,"Hydrocortisone Acetate, Bismuth Subg-Balsam-Znox-Resor",RX/OTC,2,1.0,1.0,1.0,154.02,Others
Pain and Inflammation,Hydrocortisone Acetate 8,RX,2,3.0,4.0,2.0,154.02,Others
Pain and Inflammation,Lidocaine-Hydrocortisone-Aloe,RX,2,5.0,4.0,5.0,53.99,Ointments
Pain and Inflammation,"Starch, Pramoxine-Mineral Oil-Zinc",OTC,2,5.0,5.0,5.0,154.02,Others
Pain and Inflammation,"Phenylephrine Hcl, Bismuth Subg-Balsam-Znox-Resor",OTC,2,4.0,2.5,3.5,154.02,Others
Pain and Inflammation,Phenylephrine-Cocoa Butter,OTC,2,3.0,4.0,5.0,11.99,Ointments
Pain and Inflammation,Hydrocortisone 19,RX,2,3.0,5.0,3.0,14.59,Ointments
Pain and Inflammation,Lidocaine-Hydrocortisone-Aloe 2,RX,2,5.0,3.0,4.0,53.99,Ointments
Pain and Inflammation,Pramoxine-Zinc Acetate,OTC,2,5.0,5.0,5.0,6.03,Oral Liquids
Pain and Inflammation,Lidocaine 3,OTC,1,3.0,4.0,3.0,294.99,Others
Pain and Inflammation,"Phenylephrine-Zinc Oxide, Phenylephrn-Pramoxine-Mo-W.Pet",OTC,1,5.0,5.0,5.0,154.02,Others
Pain and Inflammation,"Phenyleph-Shark Oil-Cocoa Butr, Skin Rsp Ftr-Srk Liv-Phenylmer, Phenyleph-Shark Liv Oil-Mo-Pet",OTC,1,4.0,4.0,4.0,11.99,Ointments
Pain and Inflammation,Lidocaine 4,OTC,1,5.0,5.0,5.0,294.99,Others
Pain and Inflammation,Zinc Oxide,OTC,1,1.0,1.0,1.0,19.44,Others
Pain and Inflammation,Hydrocortisone Acetate 9,RX/OTC,1,2.0,4.0,2.0,14.59,Ointments
Pain and Inflammation,Pramoxine-Calamine,OTC,1,5.0,3.0,5.0,9.68,Oral Liquids
Pain and Inflammation,Phenyleph-Pramoxin-Glycr-W.Pet 2,OTC,1,4.0,4.0,5.0,11.99,Ointments
Pain and Inflammation,Phenyleph-Min Oil-Petrolatum,OTC,1,5.0,4.0,5.0,11.99,Ointments
Pain and Inflammation,Phenylephrine-Cocoa Butter 2,OTC,1,4.0,4.0,4.0,11.99,Ointments
Pain and Inflammation,Lidocaine-Hydrocortisone-Aloe 3,RX,1,4.0,3.0,4.0,53.99,Ointments
Pain and Inflammation,Hydrocortisone 20,OTC,1,4.0,5.0,4.0,14.59,Ointments
Pain and Inflammation,Hydrocortisone 21,RX,1,3.0,3.0,2.0,14.59,Ointments
Pain and Inflammation,"Diphenhydramine-Calamine, Pramoxine-Calamine",OTC,1,3.0,5.0,4.0,9.68,Oral Liquids
Pain and Inflammation,Hydrocortisone Acetate 10,RX,1,1.0,5.0,1.0,154.02,Others
Pain and Inflammation,Valacyclovir 5,RX,350,4.29,4.6,4.15,222.79,Oral Solids
Pain and Inflammation,Valacyclovir 6,RX,146,3.96,4.16,3.61,222.79,Oral Solids
Pain and Inflammation,Famciclovir,RX,61,3.92,4.13,3.33,176.79,Oral Solids
Pain and Inflammation,Acyclovir 5,RX,47,4.25,3.5,3.75,42.99,Oral Solids
Pain and Inflammation,Acyclovir Sodium 4,RX,9,2.0,3.0,1.67,167.99,Injectables
Pain and Inflammation,Acyclovir Sodium 5,RX,3,5.0,4.5,5.0,167.99,Injectables
Chronic Disease,Simvastatin,RX,1028,3.06,3.83,2.14,28.99,Oral Solids
Chronic Disease,Atorvastatin,RX,995,3.33,3.84,2.45,249.99,Oral Solids
Chronic Disease,Rosuvastatin,RX,766,3.26,3.82,2.22,195.89,Oral Solids
Chronic Disease,Simvastatin 2,RX,584,3.14,3.8,2.34,28.99,Oral Solids
Chronic Disease,Ezetimibe,RX,390,2.96,3.86,2.46,62.99,Oral Solids
Chronic Disease,"Fenofibrate Micronized, Fenofibrate Nanocrystallized",RX,289,3.16,4.01,2.4,59.59,Oral Solids
Chronic Disease,Fenofibric Acid (Choline),RX,193,2.64,3.67,2.31,155.99,Oral Solids
Chronic Disease,Pitavastatin Calcium,RX,190,2.94,3.28,2.16,365.39,Oral Solids
Chronic Disease,Atorvastatin 2,RX,160,3.38,3.8,2.55,249.99,Oral Solids
Chronic Disease,Ezetimibe-Simvastatin,RX,112,4.25,4.41,3.33,225.99,Oral Solids
Chronic Disease,Fenofibrate,RX,107,3.53,4.04,2.96,59.59,Oral Solids
Chronic Disease,Cholestyramine-Aspartame,RX,57,4.38,4.38,4.08,79.46,Ointments
Chronic Disease,Colestipol,RX,56,4.08,3.68,3.78,56.49,Oral Solids
Chronic Disease,Cholestyramine-Aspartame 2,RX,45,4.18,3.71,3.58,79.46,Ointments
Chronic Disease,Amlodipine-Atorvastatin,RX,45,3.56,4.25,3.38,146.99,Oral Solids
Chronic Disease,Cholestyramine-Aspartame 3,RX,44,3.89,4.11,3.61,79.46,Ointments
Chronic Disease,Evolocumab,RX,43,3.79,3.79,2.42,1336.12,Injectables
Chronic Disease,Rosuvastatin 2,RX,38,3.2,4.25,2.9,195.89,Oral Solids
Chronic Disease,Ezetimibe-Simvastatin 2,RX,30,4.64,4.5,3.79,225.99,Oral Solids
Chronic Disease,Colestipol 2,RX,29,4.54,4.38,4.5,56.49,Oral Solids
Chronic Disease,Ezetimibe-Simvastatin 3,RX,26,4.4,4.53,3.67,225.99,Oral Solids
Chronic Disease,Cholestyramine-Aspartame 4,RX,20,4.56,4.25,4.5,79.46,Ointments
Chronic Disease,Fluvastatin,RX,19,3.71,4.36,3.21,137.99,Oral Solids
Chronic Disease,Fenofibrate 2,RX,15,1.0,1.0,1.0,59.59,Oral Solids
Chronic Disease,Fluvastatin 2,RX,15,2.8,3.8,2.7,127.99,Oral Solids
Chronic Disease,Fenofibrate 3,RX,14,3.3,4.0,2.8,59.59,Oral Solids
Chronic Disease,Fenofibrate Nanocrystallized,RX,11,3.6,3.4,3.2,59.59,Oral Solids
Chronic Disease,Cholestyramine-Aspartame 5,RX,10,4.43,3.86,4.0,79.46,Ointments
Chronic Disease,Alirocumab,RX,8,4.29,4.43,3.86,1387.99,Injectables
Chronic Disease,Amlodipine-Atorvastatin 2,RX,7,4.0,4.0,3.75,146.99,Oral Solids
Chronic Disease,Fenofibric Acid,RX,7,3.0,5.0,2.33,155.99,Oral Solids
Chronic Disease,"Fenofibrate Micronized, Fenofibrate",RX,4,5.0,5.0,4.5,59.59,Oral Solids
Chronic Disease,Fenofibric Acid (Choline) 2,RX,3,1.5,1.5,1.0,155.99,Oral Solids
Chronic Disease,Pitavastatin Calcium 2,RX,3,3.67,2.67,3.0,365.39,Oral Solids
Chronic Disease,Fenofibrate Nanocrystallized 2,RX,3,5.0,3.0,3.0,59.59,Oral Solids
Chronic Disease,Fluvastatin 3,RX,3,4.5,5.0,3.5,127.99,Oral Solids
Chronic Disease,Colestipol 3,RX,2,4.0,5.0,5.0,56.49,Oral Solids
Chronic Disease,Evolocumab 2,RX,2,4.5,4.5,4.0,1336.12,Injectables
Chronic Disease,Evolocumab 3,RX,2,5.0,5.0,5.0,1336.12,Injectables
Chronic Disease,Lisinopril,RX,4268,3.4,4.0,2.72,14.79,Oral Solids
Chronic Disease,Atenolol,RX,1268,3.74,4.29,3.35,16.39,Oral Solids
Chronic Disease,Nebivolol,RX,895,3.28,3.97,2.66,180.99,Oral Solids
Chronic Disease,Valsartan,RX,853,3.55,4.14,3.04,111.99,Oral Solids
Chronic Disease,Hydrochlorothiazide 9,RX,853,3.3,3.96,2.77,11.99,Oral Solids
Chronic Disease,Amlodipine,RX,794,3.23,3.89,2.56,57.99,Oral Solids
Chronic Disease,Metoprolol Succinate,RX,746,3.21,3.83,2.63,40.99,Oral Solids
Chronic Disease,Amlodipine 2,RX,666,3.31,3.95,2.65,57.99,Oral Solids
Chronic Disease,Metoprolol Succinate 2,RX,645,3.52,4.05,3.07,40.99,Oral Solids
Chronic Disease,Olmesartan,RX,601,3.75,4.19,3.11,160.99,Oral Solids
Chronic Disease,Losartan,RX,595,2.98,3.74,2.49,67.99,Oral Solids
Chronic Disease,Lisinopril-Hydrochlorothiazide,RX,510,3.63,4.02,2.75,22.99,Oral Solids
Chronic Disease,Clonidine Hcl,RX,440,3.47,3.68,2.76,20.99,Oral Solids
Chronic Disease,Valsartan-Hydrochlorothiazide,RX,418,3.85,4.19,3.29,225.99,Oral Solids
Chronic Disease,Spironolactone 3,RX,378,3.88,4.36,3.5,23.39,Oral Solids
Chronic Disease,Propranolol,RX,374,3.5,4.23,3.17,81.99,Oral Solids
Chronic Disease,Amlodipine-Olmesartan,RX,321,3.7,4.18,3.14,296.99,Oral Solids
Chronic Disease,Amlodipine-Valsartan,RX,251,3.71,4.08,2.87,143.99,Oral Solids
Chronic Disease,Amlodipine-Benazepril,RX,229,3.93,4.34,3.29,88.99,Oral Solids
Chronic Disease,Furosemide 5,RX,224,3.05,4.16,2.97,11.99,Oral Solids
Chronic Disease,Furosemide 6,RX,196,3.21,4.01,2.99,11.99,Oral Solids
Chronic Disease,Losartan-Hydrochlorothiazide,RX,186,3.71,4.19,3.13,104.99,Oral Solids
Chronic Disease,Propranolol 2,RX,183,3.71,4.32,3.3,81.99,Oral Solids
Chronic Disease,Enalapril Maleate,RX,178,3.56,4.23,3.06,21.99,Oral Solids
Chronic Disease,Losartan-Hydrochlorothiazide 2,RX,177,3.43,4.04,2.83,104.99,Oral Solids
Chronic Disease,Telmisartan,RX,176,3.69,3.89,3.17,146.99,Oral Solids
Chronic Disease,Ramipril,RX,156,3.92,4.43,3.5,54.99,Oral Solids
Chronic Disease,Triamterene-Hydrochlorothiazid 6,RX,155,3.88,4.24,3.45,11.49,Oral Solids
Chronic Disease,Telmisartan-Hydrochlorothiazid,RX,154,3.94,3.97,3.4,132.7,Oral Solids
Chronic Disease,Irbesartan-Hydrochlorothiazide,RX,150,3.95,4.42,3.59,147.99,Oral Solids
Chronic Disease,Labetalol,RX,147,3.05,3.72,2.59,48.99,Oral Solids
Chronic Disease,Terazosin,RX,139,3.43,4.14,3.03,68.89,Oral Solids
Chronic Disease,Amlodipine-Benazepril 2,RX,139,3.68,4.06,3.08,88.99,Oral Solids
Chronic Disease,Candesartan,RX,118,4.05,4.27,3.44,126.99,Oral Solids
Chronic Disease,Olmesartan-Amlodipin-Hcthiazid,RX,103,4.05,4.25,3.3,242.99,Oral Solids
Chronic Disease,Prazosin,RX,89,3.53,4.06,3.38,29.99,Oral Solids
Chronic Disease,Valsartan 2,RX,88,3.07,3.8,2.6,111.99,Oral Solids
Chronic Disease,Nifedipine,RX,85,3.29,3.71,2.63,39.19,Oral Solids
Chronic Disease,Spironolactone 4,RX,79,3.95,4.4,3.25,23.39,Oral Solids
Chronic Disease,Bisoprolol Fumarate,RX,79,3.1,3.97,2.72,50.99,Oral Solids
Chronic Disease,Bisoprolol-Hydrochlorothiazide,RX,77,3.92,4.4,3.52,13.16,Oral Solids
Chronic Disease,Triamterene-Hydrochlorothiazid 7,RX,74,3.83,4.46,3.31,11.49,Oral Solids
Chronic Disease,Azilsartan Med-Chlorthalidone,RX,73,3.68,3.84,2.53,255.99,Oral Solids
Chronic Disease,Chlorthalidone 4,RX,70,3.02,3.9,2.25,37.99,Oral Solids
Chronic Disease,Azilsartan Medoxomil,RX,69,3.84,4.07,2.91,248.99,Oral Solids
Chronic Disease,Guanfacine,RX,67,3.39,3.94,3.16,40.99,Oral Solids
Chronic Disease,Atenolol 2,RX,67,4.02,4.51,3.51,16.39,Oral Solids
Chronic Disease,Carvedilol Phosphate,RX,66,2.84,3.61,2.42,265.99,Oral Solids
Chronic Disease,Atenolol-Chlorthalidone,RX,66,3.98,4.29,3.09,46.81,Oral Solids
Chronic Disease,Lisinopril 2,RX,65,3.55,4.23,2.52,14.79,Oral Solids
Chronic Disease,Nadolol,RX,59,4.0,4.25,3.44,70.99,Oral Solids
Chronic Disease,Benazepril-Hydrochlorothiazide,RX,58,3.76,4.24,3.04,77.99,Oral Solids
Chronic Disease,Clonidine Hcl 2,RX,57,3.32,3.92,2.48,20.99,Oral Solids
Chronic Disease,Terazosin 2,RX,55,3.24,3.86,2.97,68.89,Oral Solids
Chronic Disease,Nifedipine 2,RX,54,3.83,4.22,3.02,39.19,Oral Solids
Chronic Disease,Amlodipine-Valsartan-Hcthiazid,RX,54,3.98,4.25,3.32,239.99,Oral Solids
Chronic Disease,Nifedipine 3,RX,52,3.7,3.93,3.0,39.19,Oral Solids
Chronic Disease,Quinapril,RX,50,3.64,4.21,3.4,15.69,Oral Solids
Chronic Disease,Enalapril Maleate 2,RX,48,3.78,4.39,3.05,21.99,Oral Solids
Chronic Disease,Lisinopril-Hydrochlorothiazide 2,RX,48,3.77,3.96,2.91,22.99,Oral Solids
Chronic Disease,Felodipine,RX,48,3.64,4.21,3.12,61.99,Oral Solids
Chronic Disease,Propranolol 3,RX,47,4.22,4.72,4.0,81.99,Oral Solids
Chronic Disease,Quinapril 2,RX,45,3.84,4.26,3.58,15.69,Oral Solids
Chronic Disease,Amlodipine-Atorvastatin 3,RX,45,3.56,4.25,3.38,146.99,Oral Solids
Chronic Disease,Torsemide 3,RX,43,3.85,4.1,3.1,25.99,Oral Solids
Chronic Disease,Nisoldipine,RX,40,3.0,3.65,2.48,162.99,Oral Solids
Chronic Disease,Trandolapril-Verapamil,RX,39,4.26,4.49,3.97,159.99,Oral Solids
Chronic Disease,Triamterene-Hydrochlorothiazid 8,RX,38,3.46,4.21,3.18,11.49,Oral Solids
Chronic Disease,Bumetanide 4,RX,34,3.78,4.17,3.61,66.99,Oral Solids
Chronic Disease,Telmisartan 2,RX,33,3.61,3.77,3.16,146.99,Oral Solids
Chronic Disease,Candesartan-Hydrochlorothiazid,RX,30,4.34,4.66,4.17,87.3,Oral Solids
Chronic Disease,Indapamide 2,RX,29,3.43,4.52,2.9,21.99,Oral Solids
Chronic Disease,Trandolapril,RX,28,4.18,3.91,3.55,51.99,Oral Solids
Chronic Disease,Perindopril Erbumine,RX,28,3.22,3.89,2.67,54.99,Oral Solids
Chronic Disease,Fosinopril,RX,27,3.89,4.74,3.59,34.59,Oral Solids
Chronic Disease,Prazosin 2,RX,26,4.0,4.33,3.78,29.99,Oral Solids
Chronic Disease,Bisoprolol Fumarate 2,RX,26,3.76,4.47,3.18,50.99,Oral Solids
Chronic Disease,Hydrochlorothiazide 10,RX,25,4.12,4.41,3.94,11.99,Oral Solids
Chronic Disease,Irbesartan-Hydrochlorothiazide 2,RX,24,3.38,3.5,2.71,147.99,Oral Solids
Chronic Disease,Bisoprolol-Hydrochlorothiazide 2,RX,24,3.35,3.87,2.96,13.16,Oral Solids
Chronic Disease,Lisinopril-Hydrochlorothiazide 3,RX,24,3.7,4.22,3.35,22.99,Oral Solids
Chronic Disease,Methyldopa,RX,23,3.68,3.59,2.86,17.29,Oral Solids
Chronic Disease,Benazepril-Hydrochlorothiazide 2,RX,22,4.24,4.71,3.29,77.99,Oral Solids
Chronic Disease,Nebivolol 2,RX,21,4.0,4.29,3.82,180.99,Oral Solids
Chronic Disease,Clonidine,RX,21,3.83,4.17,2.67,173.99,Others
Chronic Disease,Eprosartan,RX,21,4.75,4.92,4.42,120.42,Oral Solids
Chronic Disease,Nadolol 2,RX,20,5.0,5.0,5.0,70.99,Oral Solids
Chronic Disease,Metoprolol Ta-Hydrochlorothiaz,RX,20,4.11,4.22,3.94,52.79,Oral Solids
Chronic Disease,Bumetanide 5,RX,20,4.0,4.5,3.63,66.99,Oral Solids
Chronic Disease,Felodipine 2,RX,20,3.95,4.32,3.37,61.99,Oral Solids
Chronic Disease,Olmesartan 2,RX,20,3.89,4.0,3.32,160.99,Oral Solids
Chronic Disease,Telmisartan-Amlodipine,RX,20,4.4,4.6,4.35,155.99,Oral Solids
Chronic Disease,Captopril,RX,19,3.43,3.5,3.07,31.99,Oral Solids
Chronic Disease,Isradipine,RX,19,3.26,4.32,2.63,79.99,Oral Solids
Chronic Disease,Spironolacton-Hydrochlorothiaz 4,RX,18,3.27,3.67,3.0,29.47,Oral Solids
Chronic Disease,Acebutolol,RX,17,4.0,4.4,4.4,24.49,Oral Solids
Chronic Disease,Eplerenone,RX,17,3.5,3.5,3.5,119.99,Oral Solids
Chronic Disease,Enalapril-Hydrochlorothiazide,RX,17,4.0,4.44,2.75,33.99,Oral Solids
Chronic Disease,Pindolol,RX,17,4.18,4.36,3.45,57.99,Oral Solids
Chronic Disease,Nifedipine 4,RX,16,3.85,4.15,3.0,37.71,Oral Solids
Chronic Disease,Clonidine 2,RX,16,4.58,4.75,4.17,173.99,Others
Chronic Disease,Propranolol 4,RX,16,3.86,5.0,3.29,81.99,Oral Solids
Chronic Disease,Isradipine 2,RX,15,4.29,4.29,3.29,79.99,Oral Solids
Chronic Disease,Torsemide 4,RX,15,3.17,3.0,2.67,25.99,Oral Solids
Chronic Disease,Amlodipine-Valsartan 2,RX,15,4.0,4.2,3.47,143.99,Oral Solids
Chronic Disease,Atenolol-Chlorthalidone 2,RX,13,3.67,4.42,3.25,46.81,Oral Solids
Chronic Disease,Candesartan 2,RX,13,4.0,4.27,3.36,126.99,Oral Solids
Chronic Disease,Acebutolol 2,RX,12,3.5,4.25,4.0,24.49,Oral Solids
Chronic Disease,Ethacrynic Acid 2,RX,12,4.33,4.0,3.0,94.99,Oral Solids
Chronic Disease,Clonidine 3,RX,12,4.0,3.67,3.5,173.99,Others
Chronic Disease,Atenolol-Chlorthalidone 3,RX,12,3.92,4.5,2.67,46.81,Oral Solids
Chronic Disease,Eplerenone 2,RX,12,3.33,4.0,3.11,119.99,Oral Solids
Chronic Disease,Propranolol-Hydrochlorothiazid,RX,11,3.57,4.14,3.29,39.29,Oral Solids
Chronic Disease,Quinapril-Hydrochlorothiazide,RX,11,4.0,4.22,3.22,72.99,Oral Solids
Chronic Disease,Clonidine Hcl 3,RX,10,3.67,4.83,3.0,122.99,Oral Solids
Chronic Disease,Telmisartan-Hydrochlorothiazid 2,RX,10,3.2,3.1,3.0,132.7,Oral Solids
Chronic Disease,Fosinopril 2,RX,9,4.56,4.67,4.22,34.59,Oral Solids
Chronic Disease,Perindopril Erbumine 2,RX,9,4.13,4.25,4.13,54.99,Oral Solids
Chronic Disease,Betaxolol,RX,9,5.0,5.0,5.0,45.49,Oral Solids
Chronic Disease,Nisoldipine 2,RX,9,3.33,4.11,2.67,162.99,Oral Solids
Chronic Disease,Metoprolol Ta-Hydrochlorothiaz 2,RX,8,4.6,4.8,4.4,52.79,Oral Solids
Chronic Disease,Clonidine 4,RX,8,4.4,4.6,3.8,173.99,Others
Chronic Disease,Metoprolol Su-Hydrochlorothiaz,RX,8,3.5,3.17,2.5,810.99,Oral Solids
Chronic Disease,Telmisartan-Amlodipine 2,RX,8,4.14,4.29,4.29,155.99,Oral Solids
Chronic Disease,Amlodipine-Atorvastatin 4,RX,7,4.0,4.0,3.75,146.99,Oral Solids
Chronic Disease,Spironolacton-Hydrochlorothiaz 5,RX,7,4.17,3.83,2.67,29.47,Oral Solids
Chronic Disease,Triamterene 2,RX,7,3.33,4.0,1.67,172.39,Oral Solids
Chronic Disease,Labetalol 2,RX,6,3.6,4.4,3.4,48.99,Oral Solids
Chronic Disease,Trandolapril 2,RX,6,4.0,4.17,3.5,51.99,Oral Solids
Chronic Disease,Nifedipine 5,RX,5,4.25,4.5,3.5,39.19,Oral Solids
Chronic Disease,Moexipril,RX,5,4.0,4.25,3.75,32.99,Oral Solids
Chronic Disease,Indapamide 3,RX,5,3.8,4.6,3.4,21.99,Oral Solids
Chronic Disease,Hydrochlorothiazide 11,RX,5,3.33,3.67,3.0,11.99,Oral Solids
Chronic Disease,Amlodipine-Olmesartan 2,RX,5,3.2,4.2,1.8,296.99,Oral Solids
Chronic Disease,Quinapril-Hydrochlorothiazide 2,RX,5,3.5,4.0,2.25,72.99,Oral Solids
Chronic Disease,Quinapril-Hydrochlorothiazide 3,RX,4,4.5,4.5,4.0,72.99,Oral Solids
Chronic Disease,Moexipril 2,RX,4,5.0,3.67,3.67,32.99,Oral Solids
Chronic Disease,Labetalol 3,RX,4,3.25,3.5,3.25,48.99,Oral Solids
Chronic Disease,Enalapril-Hydrochlorothiazide 2,RX,4,4.25,4.25,4.25,33.99,Oral Solids
Chronic Disease,Labetalol 4,RX,4,3.5,4.25,3.5,48.99,Oral Solids
Chronic Disease,Captopril 2,RX,3,2.33,3.33,2.33,31.99,Oral Solids
Chronic Disease,Fosinopril-Hydrochlorothiazide,RX,3,1.5,2.0,1.0,54.99,Oral Solids
Chronic Disease,Amlodipine-Valsartan-Hcthiazid 2,RX,3,3.5,4.0,3.5,239.99,Oral Solids
Chronic Disease,Isradipine 3,RX,3,2.67,4.0,2.67,79.99,Oral Solids
Chronic Disease,Atenolol 3,RX,3,3.67,5.0,3.67,16.39,Oral Solids
Chronic Disease,Olmesartan-Amlodipin-Hcthiazid 2,RX,3,3.67,5.0,3.67,242.99,Oral Solids
Chronic Disease,Hydrochlorothiazide 12,RX,2,3.0,4.0,2.0,11.99,Oral Solids
Chronic Disease,"Triamterene-Hydrochlorothiazid, Trichlormethiazide 2",RX,2,2.0,1.0,1.0,11.49,Oral Solids
Chronic Disease,Triamterene-Hydrochlorothiazid 9,RX,2,3.0,5.0,3.0,11.49,Oral Solids
Chronic Disease,Hydrochlorothiazide 13,RX,2,3.0,5.0,2.0,11.99,Oral Solids
Chronic Disease,Pindolol 2,RX,2,5.0,1.0,1.0,57.99,Oral Solids
Chronic Disease,Chlorthalidone 5,RX,2,1.0,5.0,1.0,37.99,Oral Solids
Chronic Disease,Furosemide 7,RX,2,2.0,5.0,1.0,11.99,Oral Solids
Chronic Disease,Azilsartan Med-Chlorthalidone 2,RX,2,5.0,5.0,5.0,255.99,Oral Solids
Chronic Disease,Candesartan-Hydrochlorothiazid 2,RX,2,4.5,4.5,4.5,87.3,Oral Solids
Chronic Disease,Timolol Maleate,RX,2,3.0,3.0,3.0,12.99,Oral Liquids
Chronic Disease,Azilsartan Medoxomil 2,RX,2,5.0,5.0,5.0,248.99,Oral Solids
Chronic Disease,Betaxolol 2,RX,2,4.0,4.0,4.0,45.49,Oral Solids
Chronic Disease,Methyldopa-Hydrochlorothiazide,RX,1,5.0,5.0,5.0,120.99,Oral Solids
Chronic Disease,Propranolol 5,RX,1,5.0,5.0,5.0,81.99,Oral Solids
Chronic Disease,Hydrochlorothiazide 14,RX,1,5.0,5.0,4.0,11.99,Oral Solids
Chronic Disease,Hydrochlorothiazide 15,RX,1,1.0,1.0,1.0,11.99,Oral Solids
Chronic Disease,Propranolol 6,RX,1,4.0,4.0,5.0,81.99,Oral Solids
Chronic Disease,Hydrochlorothiazide 16,RX,1,5.0,5.0,5.0,11.99,Oral Solids
Chronic Disease,Spironolacton-Hydrochlorothiaz 6,RX,1,1.0,4.0,1.0,29.47,Oral Solids
Chronic Disease,Furosemide 8,RX,1,2.0,2.0,2.0,11.99,Oral Solids
Chronic Disease,Trandolapril-Verapamil 2,RX,1,4.0,5.0,4.0,159.99,Oral Solids
Chronic Disease,Triamterene-Hydrochlorothiazid 10,RX,1,2.0,1.0,1.0,11.49,Oral Solids
Chronic Disease,Propranolol-Hydrochlorothiazid 2,RX,1,2.0,4.0,1.0,39.29,Oral Solids
Chronic Disease,Spironolacton-Hydrochlorothiaz 7,RX,1,5.0,5.0,5.0,29.47,Oral Solids
Chronic Disease,Eprosartan 2,RX,1,5.0,5.0,5.0,120.42,Oral Solids
Chronic Disease,Perindopril-Amlodipine,RX,1,5.0,5.0,4.0,169.52,Oral Solids
Chronic Disease,Methyldopa-Hydrochlorothiazide 2,RX,1,4.0,5.0,3.0,120.99,Oral Solids
Chronic Disease,Chlorthalidone 6,RX,1,4.0,4.0,4.0,37.99,Oral Solids
Infectious Disease,Cefuroxime Axetil 3,RX,156,3.15,3.06,2.33,86.99,Oral Solids
Infectious Disease,Cefuroxime Axetil 4,RX,97,3.23,3.62,2.85,86.99,Oral Solids
Infectious Disease,"Mupirocin Calcium, Mupirocin 2",RX,60,3.86,4.55,3.79,52.99,Ointments
Infectious Disease,Mupirocin 4,RX,52,3.91,4.36,3.09,52.99,Ointments
Infectious Disease,Retapamulin,RX,28,3.88,4.19,3.81,363.99,Ointments
